Zone,avg_income_per_mile,avg_speed_mph,avg_fare,num_trips
SoHo,4.395209929579741,10.572333917090802,11.388680628272253,16235
Soundview/Bruckner,4.47994838889664,13.709277310031606,29.197045454545457,44
Soundview/Castle Hill,4.058145907657308,18.06360226016842,32.703583333333334,120
South Beach/Dongan Hills,2.932982288176161,21.089175546831182,30.635,2
South Jamaica,3.925206142447418,23.002468884420576,48.963167701863355,161
South Ozone Park,6.542666065524497,23.585677245725158,52.03374501992032,251
South Williamsburg,4.827587661926665,11.665923728002406,15.460675675675674,74
Springfield Gardens North,4.226741445942125,14.148477439430984,32.415542168674705,83
Springfield Gardens South,3.730099634372877,20.745043281471002,56.53565476190476,168
Spuyten Duyvil/Kingsbridge,4.063477236729887,17.624750221197154,25.655128205128204,78
Stapleton,4.668512208972175,18.817453250222616,65.77000000000001,5
Starrett City,4.008150368920884,13.453747685371546,33.82818181818182,66
Steinway,4.564057990428292,19.924090346169727,26.580620567375885,564
Stuy Town/Peter Cooper Village,4.478732911680507,11.615269125735063,11.238697930311764,3817
Stuyvesant Heights,4.582714444857038,10.564869857079806,23.847826086956523,207
Sunnyside,4.598222905670631,13.22876215757819,19.12929292929293,2079
Sunset Park East,4.454905344363802,11.824164832966595,28.31451612903226,31
Sunset Park West,3.7461992989484223,17.319533982827902,28.124661654135338,133
Sutton Place/Turtle Bay North,4.592061248425351,11.086499298013969,9.635050037368526,54859
Times Sq/Theatre District,4.26148645831663,11.656333917978412,11.76011859281658,67795
TriBeCa/Civic Center,4.129934486320926,12.082641320880837,12.634991928251122,27875
Two Bridges/Seward Park,4.268580697060315,12.4374286556891,14.81017823284035,2637
UN/Turtle Bay South,4.437635361023102,11.91166592190312,10.630017421602787,29848
Union Sq,4.723824645704103,9.970389705920146,9.973414319433516,63550
University Heights/Morris Heights,4.216191208067374,15.691645133505597,29.22141304347826,92
Upper East Side North,4.960430275762587,9.783172569242897,9.593975130398498,119825
Upper East Side South,5.029889237730508,9.809134307909206,8.962061818905605,120578
Upper West Side North,4.605287853228454,11.050095929096168,10.38197961003348,59441
Upper West Side South,4.661592012174086,10.851185034085283,9.895392186978297,74875
Van Cortlandt Park,7.012658227848101,9.121231558691468,27.7,2
Van Cortlandt Village,3.69760651478014,16.57905255366395,32.4784705882353,85
Van Nest/Morris Park,4.556714410065678,14.415468366784332,26.174181818181818,110
Washington Heights North,3.8828014030205518,14.679053934257654,20.994514106583072,319
Washington Heights South,3.8424876598700353,13.193288678182416,16.41549009105517,1867
West Brighton,3.12520325203252,25.130533484676505,32.03333333333333,3
West Chelsea/Hudson Yards,4.480467162479994,10.814753378944754,10.947844874222342,29576
West Concourse,4.606036410092622,14.95211699995736,19.228666666666665,210
West Farms/Bronx River,4.027474997190696,16.956756470650504,31.858222222222224,45
West Village,4.436908540487344,10.39971695597179,10.45724404119487,54667
Westchester Village/Unionport,4.669494159968024,12.300264028405813,25.03404761904762,42
Whitestone,3.9214943834406157,14.978888772187796,47.8,26
Willets Point,4.428571428571429,17.115689381933436,46.5,2
Williamsbridge/Olinville,3.8035606444911463,16.132455062595735,34.605714285714285,91
Williamsburg (North Side),4.015097905975897,14.083118557685404,17.396175972927242,591
Williamsburg (South Side),4.311086604804365,14.517714902637154,18.339814814814815,648
Windsor Terrace,3.9540097508541585,17.563754869643397,27.104736842105265,38
Woodhaven,4.471235617808904,13.531200789714909,27.50153846153846,26
Woodlawn/Wakefield,3.4972346059732518,19.143829878255293,35.97689655172414,29
Woodside,4.797029944323644,11.99415244573957,19.757791164658634,498
World Trade Center,3.785710468391798,14.271382151822019,15.719848223525352,8697
Yorkville East,4.501537031643899,11.727928197035661,10.350226517747378,38231
Yorkville West,4.463262346683206,11.607720287002973,9.890793078820932,61608
